query,frequency,category_breakdown
,14,Product:2; Shop:8; Voucher:4
"Looking for glue sticks in color d, priced above 19 PHP.",6,Product:6
Show me digital sensors from LazMall that cost more than 78 PHP.,5,Product:5
"Find shops offering power tools where one item has an LED light feature, is corded, and costs over 375 PHP, and another item is a cordless drill from DEWALT.",5,Shop:5
"I'm looking for a shop that sells these items: First, a power supply adapter for Acer devices, 12v3a variation, 1 meter cord, wall charger type, works with any brand, offers free shipping, and costs more than 102 PHP. Second, a black RCA to HDMI AV converter, priced between 78 and 423 pesos. Third, a black crimping pliers tool for network cables, from the brand yunleo, comes with LazMall service, and is priced above 34 pesos. Please show me shops that have all these products.",4,Shop:4
"Looking for a heavy duty bearing, size 6203, with complimentary shipping and priced above 16 PHP.",4,Product:4
"Show me frozen plant-based barbeque in a bag from the Philippines that stays fresh for 24 weeks, and also vegan meatballs.

My budget is only `247`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `149`.
3. It provides a fixed discount of `18`.",4,Voucher:4
"Find a shop that offers these items: First, a driving light for motorcycles in the 1pcs color option, from the brand senda, priced above 80 PHP. Second, a multifunctional laser leveler bracket by senda. Third, a universal motorcycle throttle grip from senda, available with LazMall service and costing more than 24 PHP. Lastly, a set of 2 blind spot mirrors for cars or motorcycles, with 'products only' service, available with LazFlash and priced over 17 PHP.",4,Shop:4
Show me plastic baking tools priced above 10 PHP.,4,Product:4
"Looking for mosquito swatter in 250mah color, powered by battery and works with 220v input. Also searching for a portable power station with combi c., rechargeable feature, 1000-2000 power use, brand gavao, and universal plug. Need an extension cord, 4m long, from gavao. Lastly, want a home emergency power bank with ultra-quiet operation, 220v input, 1-500 power range, and universal plug.

My budget is only `7984`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `5803`.
3. It provides a fixed discount of `1343`.",4,Voucher:4
"I'm looking for a pouch-packaged toilet cleaner with a lavender scent, a karaoke player from The Platinum Karaoke brand that runs on 220v, uses up to 500 watts, and has two mic inputs, and a puppy dog food with hip and joint benefits that's available with a LazFlash deal.

My budget is only `5027`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `3372`.
3. It provides a percentage discount of `16%` with a cap of `2292`.",4,Voucher:4
"Find shops offering single-lens diving masks from Intex priced above 215 PHP, and also selling Intex goggles for kids aged 3-8.",4,Shop:4
